λ,Curve-1_E
436.782,95.1864
436.868,96.6872
436.954,99.168
437.04,104.464
437.126,83.3081
437.213,91.6672
437.299,88.4502
437.385,103.83
437.471,83.6297
437.557,102.692
437.643,89.1147
437.729,95.3123
437.816,97.305
437.902,80.1945
437.988,85.684
438.074,108.491
438.16,89.6849
438.246,94.6843
438.332,93.8456
438.419,121.669
438.505,99.2603
438.591,82.2162
438.677,93.8958
438.763,107.398
438.849,98.3973
438.935,81.5172
439.021,108.497
439.107,99.8411
439.194,102.133
439.28,101.416
439.366,80.947
439.452,106.759
439.538,93.7037
439.624,94.4752
439.71,115.577
439.796,98.1023
439.882,82.5059
439.969,102.178
440.055,85.8747
440.141,93.4678
440.227,118.431
440.313,97.7631
440.399,104.828
440.485,76.6584
440.571,106.837
440.657,95.355
440.743,72.401
440.829,88.0127
440.915,78.5506
441.002,67.8081
441.088,86.82
441.174,65.4445
441.26,93.3897
441.346,79.7956
441.432,87.3276
441.518,83.2306
441.604,94.571
441.69,94.0069
441.776,95.176
441.862,94.2835
441.948,87.8934
442.034,105.367
442.12,117.725
442.206,115.633
442.292,89.3023
442.379,110.924
442.465,81.3367
442.551,101.824
442.637,107.435
442.723,93.1022
442.809,88.7793
442.895,95.0214
442.981,111.482
443.067,85.6005
443.153,95.5376
443.239,99.6878
443.325,101.39
443.411,80.6851
443.497,96.9494
443.583,117.068
443.669,86.0913
443.755,94.8107
443.841,112.988
443.927,103.345
444.013,94.3661
444.099,93.0514
444.185,99.4759
444.271,105.9
444.357,97.4868
444.443,122.204
444.529,116.649
444.615,74.6831
444.701,91.5992
444.787,85.3195
444.873,83.9221
444.959,89.4726
445.045,107.083
445.131,87.4137
445.217,81.2855
445.303,88.162
445.389,102.672
445.475,92.4625
445.561,104.876
445.647,106.89
445.733,95.8864
445.819,86.8599
445.905,96.075
445.991,111.386
446.077,126.222
446.163,105.837
446.249,121.482
446.335,100.324
446.421,105.825
446.507,94.9657
446.593,93.6014
446.679,70.6503
446.765,95.9475
446.851,85.4972
446.937,104.843
447.023,87.67
447.109,88.9874
447.195,112.651
447.281,105.531
447.367,110.164
447.452,111.084
447.538,95.3654
447.624,113.806
447.71,95.381
447.796,91.0678
447.882,100.089
447.968,72.6329
448.054,88.5058
448.14,107.015
448.226,89.8528
448.312,87.5388
448.398,106.607
448.484,99.019
448.57,116.596
448.656,97.5375
448.742,114.026
448.827,118.402
448.913,98.7964
448.999,81.5914
449.085,97.8192
449.171,98.6433
449.257,87.6398
449.343,108.632
449.429,92.917
449.515,98.8066
449.601,111.981
449.687,72.732
449.773,116.616
449.858,93.3988
449.944,110.278
450.03,96.7529
450.116,89.1614
450.202,106.836
450.288,92.715
450.374,87.856
450.46,106.583
450.546,85.3329
450.632,101.297
450.717,85.3438
450.803,101.83
450.889,108.779
450.975,82.0099
451.061,89.2772
451.147,80.9019
451.233,104.397
451.319,109.647
451.404,121.739
451.49,120.023
451.576,110.126
451.662,92.7777
451.748,97.0829
451.834,85.1871
451.92,101.854
452.006,69.7546
452.091,107.388
452.177,105.326
452.263,112.092
452.349,109.02
452.435,109.384
452.521,93.5287
452.607,92.3242
452.692,99.6603
452.778,120.379
452.864,115.637
452.95,117.271
453.036,95.4494
453.122,105.723
453.207,115.98
453.293,79.5041
453.379,86.8518
453.465,83.3698
453.551,93.6748
453.637,103.982
453.722,97.6141
453.808,105.063
453.894,130.01
453.98,109.12
454.066,94.8654
454.152,118.493
454.237,120.351
454.323,128.863
454.409,83.6511
454.495,99.6868
454.581,88.1399
454.666,109.705
454.752,103.775
454.838,110.79
454.924,104.673
455.01,108.082
455.096,125.676
455.181,98.4567
455.267,118.769
455.353,90.4324
455.439,106.821
455.525,105.825
455.61,109.665
455.696,83.2072
455.782,98.4017
455.868,89.7316
455.953,105.24
456.039,110.318
456.125,94.9326
456.211,99.0387
456.297,84.821
456.382,94.9032
456.468,116.531
456.554,117.571
456.64,104.495
456.725,85.0766
456.811,79.0264
456.897,104.307
456.983,112.925
457.069,102.074
457.154,108.427
457.24,103.822
457.326,104.548
457.412,123.603
457.497,100.224
457.583,124.776
457.669,104.915
457.755,109.093
457.84,89.3938
457.926,109.141
458.012,101.796
458.098,112.303
458.183,97.5488
458.269,97.6121
458.355,96.2243
458.441,111.441
458.526,96.9918
458.612,112.922
458.698,105.288
458.784,103.106
458.869,117.465
458.955,96.9288
459.041,101.954
459.126,121.392
459.212,83.6857
459.298,107.725
459.384,127.908
459.469,119.172
459.555,108.31
459.641,101.554
459.726,102.72
459.812,93.2276
459.898,112.554
459.984,115.577
460.069,122.039
460.155,95.7602
460.241,107.339
460.326,127.087
460.412,102.503
460.498,100.841
460.584,102.631
460.669,116.693
