λ,alta_E,bassa-esp_E,Raw_E
415.104,91.2612,32.1704,16.9864
415.191,97.4475,20.7307,41.4682
415.278,115.505,24.9269,31.1264
415.364,93.7351,11.0988,24.6485
415.451,126.015,36.5809,57.2017
415.537,93.8986,8.83446,4.87824
415.624,95.0503,6.78276,49.7206
415.71,131.65,8.88505,18.3264
415.797,106.768,28.4201,33.3121
415.884,135.162,14.6687,30.3034
415.97,92.0019,15.1721,23.4615
416.057,97.1767,20.215,60.8581
416.143,114.142,19.7027,3.27669
416.23,97.7562,24.494,24.8468
416.316,113.565,0.0,10.6179
416.403,81.8425,12.1902,5.38314
416.489,115.682,31.9778,56.9719
416.576,117.706,12.331,26.7744
416.663,112.46,23.0427,38.7316
416.749,91.9497,10.5824,5.65996
416.836,137.35,10.1241,69.6292
416.922,106.579,8.44631,27.3892
417.009,126.762,26.1833,34.4651
417.095,118.371,0.0,6.95961
417.182,131.792,16.0469,14.1001
417.268,140.492,13.2775,15.6997
417.355,127.441,20.5364,42.5171
417.441,118.719,31.6967,30.7905
417.528,112.411,3.11054,37.5897
417.614,121.437,18.0635,28.321
417.701,108.956,32.2231,19.6626
417.787,97.3879,1.25597,8.09445
417.874,110.007,16.6443,42.5593
417.96,130.643,39.3727,56.9142
418.047,120.009,3.8332,36.7233
418.133,116.682,15.8237,23.2925
418.22,99.6525,10.7672,29.7468
418.307,122.855,26.6722,22.6389
418.393,102.23,11.4621,26.5898
418.48,107.587,11.5463,49.6957
418.566,100.204,28.5796,8.99935
418.653,117.958,12.6693,40.4063
418.739,97.1427,11.4751,38.1596
418.826,136.299,9.68419,18.6068
418.912,148.919,17.9736,17.0268
418.999,109.104,12.2895,17.626
419.085,113.742,15.2256,21.1718
419.172,123.247,21.9768,43.7842
419.258,119.166,32.205,42.1602
419.345,101.247,11.2124,17.961
419.431,140.865,17.7623,34.095
419.518,116.033,13.596,36.0235
419.604,93.3728,32.0871,37.1204
419.69,123.111,12.471,29.4488
419.777,75.4414,8.47682,15.366
419.863,120.694,30.0997,27.3048
419.95,101.924,12.8712,13.7224
420.036,147.33,32.9072,52.5748
420.123,107.744,9.49273,33.1964
420.209,117.042,16.4592,50.4127
420.296,113.553,7.92139,46.378
420.382,135.209,17.3353,32.8088
420.469,131.2,29.4338,38.9033
420.555,103.599,32.669,45.9814
420.642,143.239,49.5137,50.1222
420.728,94.7301,11.2206,25.0975
420.815,109.013,27.4923,37.1958
420.901,137.278,20.0421,32.42
420.988,117.487,12.9885,45.6697
421.074,99.4044,41.9866,9.29177
421.16,108.086,25.0728,50.1951
421.247,134.897,16.9827,35.5002
421.333,103.46,22.9505,34.3733
421.42,95.2185,34.4981,51.5271
421.506,91.5971,19.2173,21.6914
421.593,106.938,28.52,36.4861
421.679,117.986,16.2267,29.7845
421.766,125.169,12.4042,53.3516
421.852,133.251,25.6218,21.0203
421.939,109.795,21.3945,32.79
422.025,141.133,9.34863,34.9099
422.111,106.651,16.0408,28.2805
422.198,129.25,16.4641,37.2257
422.284,138.243,21.7121,32.2922
422.371,134.296,33.4185,57.5636
422.457,150.442,28.9077,50.7715
422.544,128.248,15.3219,37.5896
422.63,101.592,14.2102,19.3984
422.716,111.531,18.9388,35.8912
422.803,121.257,14.5825,38.2445
422.889,110.671,20.7129,40.2186
422.976,134.331,23.8486,35.48
423.062,100.025,9.81666,34.4885
423.149,157.725,7.86013,9.99562
423.235,148.656,17.1863,51.1709
423.321,130.065,33.2846,29.0295
423.408,121.11,31.1876,3.96351
423.494,107.263,21.1722,31.0766
423.581,98.8693,17.5406,24.0484
423.667,106.307,36.4691,15.9208
423.753,92.7844,11.9699,44.4509
423.84,82.1522,3.63028,28.3574
423.926,96.352,17.5921,35.1844
424.013,101.74,5.3764,18.4545
424.099,122.948,11.1965,45.1235
424.185,106.167,21.8009,31.3464
424.272,102.778,19.9016,20.5845
424.358,117.205,11.9889,17.8078
424.445,115.471,14.4599,31.3661
424.531,111.665,26.4972,36.8444
424.617,117.676,30.0006,21.829
424.704,111.066,25.7101,13.307
424.79,105.927,7.35654,27.8291
424.877,108.976,15.6854,17.7713
424.963,120.139,0.0,38.7645
425.049,121.855,28.0646,31.4689
425.136,115.088,35.5299,16.5102
425.222,147.474,28.9525,27.5973
425.308,141.957,59.8103,21.5338
425.395,174.424,47.3544,33.2477
425.481,177.482,50.4502,24.5637
425.568,171.12,49.5315,23.6635
425.654,156.535,40.5332,1.15932
425.74,162.464,46.9004,18.0111
425.827,169.965,40.9851,26.3317
425.913,170.015,27.8766,32.1152
425.999,169.037,40.5906,37.1446
426.086,154.43,30.6003,21.4458
426.172,142.803,40.6253,46.41
426.258,176.757,34.1814,36.1267
426.345,141.828,24.7807,39.9731
426.431,145.773,38.5148,19.8884
