λ,sp1_E
484.173,239.32
484.258,300.297
484.343,339.278
484.428,271.014
484.514,268.258
484.599,309.488
484.684,340.45
484.769,300.184
484.855,299.739
484.94,264.148
485.025,315.323
485.11,318.082
485.195,278.912
485.281,258.901
485.366,308.164
485.451,231.468
485.536,341.793
485.622,306.686
485.707,289.438
485.792,283.55
485.877,337.974
485.962,276.972
486.048,285.893
486.133,318.146
486.218,285.493
486.303,428.716
486.388,340.394
486.474,315.995
486.559,328.692
486.644,298.244
486.729,250.221
486.814,337.554
486.9,305.558
486.985,349.489
487.07,325.085
487.155,333.752
487.24,320.6
487.325,303.215
487.411,347.537
487.496,286.565
487.581,353.253
487.666,329.948
487.751,388.932
487.836,300.546
487.922,346.992
488.007,353.255
488.092,397.702
488.177,306.735
488.262,332.675
488.347,302.73
488.433,389.798
488.518,342.245
488.603,330.682
488.688,370.962
488.773,368.366
488.858,418.844
488.944,382.053
489.029,372.303
489.114,366.952
489.199,323.083
489.284,369.772
489.369,363.767
489.454,374.265
489.54,350.116
489.625,362.981
489.71,363.729
489.795,404.115
489.88,347.936
489.965,369.821
490.05,385.07
490.135,338.875
490.221,327.334
490.306,300.804
490.391,365.741
490.476,434.77
490.561,384.888
490.646,409.309
490.731,416.439
490.816,421.864
490.901,405.633
490.987,382.485
491.072,432.071
491.157,453.154
491.242,397.796
491.327,396.334
491.412,461.216
491.497,402.291
491.582,420.576
491.667,433.306
491.752,448.144
491.838,377.251
491.923,436.449
492.008,408.059
492.093,408.648
492.178,324.947
492.263,349.012
492.348,312.032
492.433,254.661
492.518,254.871
492.603,277.195
492.688,235.18
492.773,322.443
492.859,292.372
492.944,289.8
493.029,296.616
493.114,322.035
493.199,265.692
493.284,361.703
493.369,292.17
493.454,284.979
493.539,315.517
493.624,245.756
493.709,296.459
493.794,338.971
493.879,271.043
493.964,273.677
494.049,316.678
494.134,331.003
494.219,214.917
494.304,295.812
494.39,319.885
494.475,299.139
494.56,243.021
494.645,332.023
494.73,276.594
494.815,355.664
494.9,318.998
494.985,309.338
495.07,273.398
495.155,370.816
495.24,271.355
495.325,305.56
495.41,271.363
495.495,325.972
495.58,278.305
495.665,308.566
495.75,348.321
495.835,274.528
495.92,299.071
496.005,283.829
496.09,315.101
496.175,265.667
496.26,355.168
496.345,280.585
496.43,283.239
496.515,362.52
496.6,344.586
496.685,296.306
496.77,233.503
496.855,309.008
496.94,337.711
497.025,288.681
497.11,285.09
497.195,323.751
497.28,310.735
497.365,288.186
497.45,329.648
497.535,315.698
497.62,360.793
497.705,311.216
497.79,300.752
497.875,300.655
497.96,265.19
498.045,296.182
498.13,339.756
498.215,339.429
498.3,321.479
498.385,290.873
498.47,241.945
498.555,302.731
498.639,343.025
498.724,261.868
498.809,282.309
498.894,332.851
498.979,347.59
499.064,268.668
499.149,334.26
499.234,331.169
499.319,301.127
499.404,299.601
499.489,313.701
499.574,308.766
499.659,287.396
499.744,263.647
499.829,271.204
499.914,335.193
499.999,302.125
500.084,304.928
500.168,336.333
500.253,326.334
500.338,319.414
500.423,337.986
500.508,327.33
500.593,351.668
500.678,361.024
500.763,335.585
500.848,344.525
500.933,318.444
501.018,327.123
501.103,337.49
501.187,350.189
501.272,312.277
501.357,300.982
501.442,329.36
501.527,299.547
501.612,314.584
501.697,325.276
501.782,324.454
501.867,298.77
501.952,301.975
502.036,344.142
502.121,313.544
502.206,290.385
502.291,343.913
502.376,317.35
502.461,349.064
502.546,337.944
502.631,383.719
502.716,368.497
502.8,373.141
502.885,379.895
502.97,334.941
503.055,370.999
503.14,326.427
503.225,346.412
503.31,366.538
503.395,378.516
503.479,359.877
503.564,332.215
503.649,338.146
503.734,262.073
503.819,227.673
503.904,314.281
503.989,290.323
504.073,274.691
504.158,200.09
504.243,274.036
504.328,326.488
504.413,320.345
504.498,295.344
504.582,305.73
504.667,334.402
504.752,326.124
504.837,281.66
504.922,306.982
505.007,309.938
505.091,317.428
505.176,320.738
505.261,326.257
505.346,265.054
505.431,305.757
505.516,340.663
505.6,319.71
505.685,283.769
505.77,310.635
505.855,315.245
505.94,272.919
506.025,335.189
506.109,294.386
506.194,326.136
506.279,355.69
506.364,381.029
506.449,324.646
506.533,355.578
506.618,330.83
506.703,373.623
506.788,340.295
506.873,329.657
506.957,354.497
507.042,308.076
507.127,295.444
507.212,309.641
507.297,250.221
507.381,314.166
507.466,292.348
507.551,311.029
507.636,250.199
507.72,293.764
507.805,274.67
507.89,303.74
507.975,329.811
508.06,292.175
508.144,304.234
508.229,283.308
508.314,264.869
508.399,261.61
508.483,293.891
508.568,311.454
508.653,285.194
508.738,264.659
508.822,285.384
508.907,325.437
508.992,283.948
509.077,301.6
509.161,313.939
509.246,273.532
509.331,301.013
509.416,359.13
509.5,337.035
509.585,291.784
509.67,343.591
509.755,306.223
509.839,305.849
509.924,307.422
510.009,316.386
510.094,365.252
510.178,308.183
510.263,304.718
510.348,276.385
510.433,259.813
510.517,332.004
510.602,303.404
510.687,298.297
510.771,281.447
510.856,319.056
510.941,331.944
511.026,311.844
511.11,330.626
511.195,305.942
511.28,262.008
511.364,279.557
511.449,304.608
511.534,327.425
511.619,304.744
511.703,328.011
511.788,296.762
511.873,294.472
511.957,368.736
512.042,250.024
512.127,344.233
512.211,330.157
512.296,339.529
512.381,347.248
512.466,311.825
512.55,299.193
512.635,321.523
512.72,295.057
512.804,388.811
