λ,alta_E
445.131,333.423
445.217,322.8
445.303,329.313
445.389,308.852
445.475,307.78
445.561,316.134
445.647,306.012
445.733,281.512
445.819,303.89
445.905,332.963
445.991,307.642
446.077,347.932
446.163,338.582
446.249,283.783
446.335,347.592
446.421,349.809
446.507,315.853
446.593,351.784
446.679,379.003
446.765,376.779
446.851,348.535
446.937,372.799
447.023,367.995
447.109,384.079
447.195,367.402
447.281,403.078
447.367,386.038
447.452,393.296
447.538,413.12
447.624,401.274
447.71,417.929
447.796,454.671
447.882,458.502
447.968,446.802
448.054,482.572
448.14,488.451
448.226,465.668
448.312,496.198
448.398,511.46
448.484,607.263
448.57,649.865
448.656,685.518
448.742,732.063
448.827,763.687
448.913,749.39
448.999,825.175
449.085,778.329
449.171,713.259
449.257,600.548
449.343,466.132
449.429,374.713
449.515,278.274
449.601,278.011
449.687,244.435
449.773,296.288
449.858,240.874
449.944,248.102
450.03,254.87
450.116,264.773
450.202,265.625
450.288,243.245
450.374,289.701
450.46,288.67
450.546,271.086
450.632,250.192
450.717,228.978
450.803,250.882
450.889,326.538
450.975,255.821
451.061,288.638
451.147,289.597
451.233,278.979
451.319,266.596
451.404,260.369
451.49,281.872
451.576,298.581
451.662,305.939
451.748,302.587
451.834,310.988
451.92,285.785
452.006,274.313
452.091,238.875
452.177,246.529
452.263,265.78
452.349,228.126
452.435,313.872
452.521,228.179
452.607,241.056
452.692,246.877
452.778,312.211
452.864,282.538
452.95,270.754
453.036,276.525
453.122,303.603
453.207,294.172
453.293,314.118
453.379,321.38
453.465,308.477
453.551,266.089
453.637,262.304
453.722,270.275
453.808,319.059
453.894,270.363
453.98,305.926
454.066,294.227
454.152,294.706
454.237,338.679
454.323,304.476
454.409,339.037
454.495,278.922
454.581,332.436
454.666,357.917
454.752,377.895
454.838,393.528
454.924,362.006
455.01,391.761
455.096,375.607
455.181,409.458
455.267,431.496
455.353,454.154
455.439,475.728
455.525,466.012
455.61,449.476
455.696,480.174
455.782,483.26
455.868,470.917
455.953,427.969
456.039,413.387
456.125,413.21
456.211,434.801
456.297,476.571
456.382,468.315
456.468,521.766
456.554,536.062
456.64,568.905
456.725,547.77
456.811,557.328
456.897,614.886
456.983,644.48
457.069,675.642
457.154,704.13
457.24,753.603
457.326,760.494
457.412,803.419
457.497,778.421
457.583,717.913
457.669,677.043
457.755,498.363
457.84,400.236
457.926,329.468
458.012,308.008
458.098,316.047
458.183,313.469
458.269,295.544
458.355,272.093
458.441,283.12
458.526,268.233
458.612,342.368
458.698,319.78
458.784,288.927
458.869,297.977
458.955,329.963
459.041,328.857
459.126,334.509
459.212,352.97
459.298,318.155
459.384,351.175
459.469,355.968
459.555,379.812
459.641,342.745
459.726,439.082
459.812,411.856
459.898,455.266
459.984,529.257
460.069,525.325
460.155,502.195
460.241,519.358
460.326,470.273
460.412,348.545
460.498,329.907
460.584,356.815
460.669,303.75
460.755,263.975
460.841,288.229
460.926,288.439
461.012,260.271
461.098,283.816
461.183,307.143
461.269,254.003
461.355,302.259
461.44,298.926
461.526,269.245
461.612,292.189
461.697,299.558
461.783,294.852
461.869,305.436
461.954,290.161
462.04,353.328
462.126,302.715
462.211,349.74
462.297,346.596
462.383,361.76
462.468,325.77
462.554,336.826
462.64,315.985
462.725,353.036
462.811,352.312
462.897,327.786
462.982,373.098
463.068,379.006
463.154,382.417
463.239,388.844
463.325,375.958
463.411,392.884
463.496,408.901
463.582,472.84
463.668,456.508
463.753,480.556
463.839,483.355
463.924,462.848
464.01,445.015
464.096,511.158
464.181,452.717
464.267,518.866
464.353,490.195
464.438,510.943
